,Movie_ID,Rev_ID,Sen_ID,Word,POS,aspect.category
1,tt0093142,10308,1,words,noun,no
2,tt0093142,10308,1,movie,noun,general
3,tt0093142,10308,2,pride,noun,no
4,tt0093142,10308,2,movie,noun,general
5,tt0093142,10308,2,matter,noun,no
6,tt0093142,10308,3,movie,noun,general
7,tt0093142,10308,3,torture device,noun,no
8,tt0093142,10308,4,plot,noun,story
9,tt0093142,10308,4,dialogue,noun,story
10,tt0093142,10308,4,camera work,noun,general
11,tt0093142,10308,4,effects,noun,general
12,tt0093142,10308,4,movie,noun,general
13,tt0093142,10308,4,horror,noun,no
14,tt0093142,10308,5,your thinking,noun,no
15,tt0093142,10308,5,Sandra Bullock fan,noun,cast
16,tt0093142,10308,5,minutes,noun,no
17,tt0093142,10308,5,screen time,noun,no
18,tt0093142,10308,5,her acting,noun,cast
19,tt0093142,10308,6,rest,noun,no
20,tt0093142,10308,6,cast,noun,cast
21,tt0093142,10308,6,baboons,noun,no
22,tt0093142,10308,6,job,noun,no
23,tt0093142,10308,6,dialogue,noun,general
24,tt0093142,10309,1,cover,noun,no
25,tt0093142,10309,1,DVD,noun,no
26,tt0093142,10309,1,Sandra Bullock,noun,cast
27,tt0093142,10309,1,minutes,noun,no
28,tt0093142,10309,1,cult classic,noun,no
29,tt0093142,10309,2,entertainment value,noun,general
30,tt0093142,10309,3,highlights,noun,no
31,tt0093142,10309,3,attention,noun,no
32,tt0093142,10309,3,voices,noun,general
33,tt0093142,10309,3,chief,noun,cast
34,tt0093142,10309,3,guys,noun,no
35,tt0093142,10309,3,gun cam,noun,no
36,tt0093142,10309,3,masks,noun,no
37,tt0093142,10309,3,outfits,noun,no
38,tt0093142,10309,3,hit killers,noun,no
39,tt0093142,10309,3,ways,noun,no
40,tt0093142,10309,3,bullet,noun,no
41,tt0093142,10309,3,ground,noun,no
42,tt0093142,10309,3,abundance,noun,no
43,tt0093142,10309,3,bottom,noun,no
44,tt0093142,10309,3,shots,noun,no
45,tt0093142,10309,3,spacey scene,noun,general
46,tt0093142,10309,3,Bullock,noun,cast
47,tt0093142,10309,3,street,noun,no
48,tt0093142,10309,3,mob guy Moe LaMotta,noun,cast
49,tt0093142,10309,3,synthesizer background music,noun,music
50,tt0093142,10309,3,gun fetishismAnd,noun,no
51,tt0093142,10309,3,corny fist fight scenes,noun,general
52,tt0093142,10309,5,point,noun,no
53,tt0093142,10309,5,attempt,noun,no
54,tt0093142,10310,1,boy,noun,no
55,tt0093142,10310,2,boy,noun,no
56,tt0093142,10310,3,cover,noun,no
57,tt0093142,10310,3,VHS,noun,no
58,tt0093142,10310,3,picture,noun,no
59,tt0093142,10310,3,Sandra Bullock,noun,cast
60,tt0093142,10310,3,her name,noun,no
61,tt0093142,10310,3,top,noun,no
62,tt0093142,10310,4,reason,noun,no
63,tt0093142,10310,4,chance,noun,no
64,tt0093142,10310,4,movie,noun,general
65,tt0093142,10310,4,nineties,noun,no
66,tt0093142,10310,4,Sandra Bullock,noun,cast
67,tt0093142,10310,4,name,noun,no
68,tt0093142,10310,5,Bullock,noun,cast
69,tt0093142,10310,5,fans,noun,no
70,tt0093142,10310,6,Sandra,noun,cast
71,tt0093142,10310,6,thing,noun,no
72,tt0093142,10310,6,movie,noun,general
73,tt0093142,10310,6,her performance,noun,cast
74,tt0093142,10310,7,Rest,noun,no
75,tt0093142,10310,7,movie,noun,general
76,tt0093142,10310,7,fun,noun,no
77,tt0093142,10310,7,minutes,noun,no
78,tt0093142,10310,11,Script,noun,story
79,tt0093142,10310,12,Dialog,noun,general
80,tt0093142,10310,13,Action,noun,general
81,tt0093142,10310,14,Music,noun,music
82,tt0093142,10310,15,score,noun,music
83,tt0093142,10310,15,action movies,noun,general
84,tt0093142,10310,16,movie,noun,general
85,tt0093142,10310,16,anything Andy Sidaris,noun,no
86,tt0093142,10310,17,word,noun,no
87,tt0093142,10310,17,attempt,noun,no
88,tt0093142,10310,17,movie,noun,general
89,tt0093142,10310,18,Sandra Bullock,noun,cast
90,tt0093142,10310,19,sarcasm Jake LaMotta who,noun,cast
91,tt0093142,10310,19,Marlon Brando,noun,cast
92,tt0093142,10310,20,film,noun,general
93,tt0093142,10310,20,DVD.,noun,no
94,tt0093142,10310,22,cover,noun,no
95,tt0093142,10310,22,ACADEMY AWARD WINNER SANDRA BULLOCk,noun,cast
96,tt0093142,10310,22,HANGMEN1,noun,no
97,tt0093142,10311,1,comments,noun,no
98,tt0093142,10311,1,way,noun,no
99,tt0093142,10311,2,movie,noun,general
100,tt0093142,10311,2,waste,noun,no
101,tt0093142,10311,2,electricity,noun,no
102,tt0093142,10311,2,plastic,noun,no
103,tt0093142,10311,3,hand,noun,no
104,tt0093142,10311,3,deal,noun,no
105,tt0093142,10311,3,fun,noun,no
106,tt0093142,10311,3,friends,noun,no
107,tt0093142,10311,3,"""beyond belief",noun,no
108,tt0093142,10311,4,words,noun,no
109,tt0093142,10311,4,movie,noun,general
110,tt0093142,10311,4,friends,noun,no
111,tt0093142,10311,4,comments,noun,no
112,tt0093142,10311,4,endorsements,noun,no
113,tt0093142,10311,6,pleasure,noun,no
114,tt0093142,10311,6,people,noun,no
115,tt0093142,10311,6,movie,noun,general
116,tt0093142,10311,7,hand,noun,no
117,tt0093142,10311,7,friend,noun,no
118,tt0093142,10311,7,minutes,noun,no
119,tt0093142,10311,7,his life,noun,no
120,tt0093142,10311,8,"""gun",noun,no
121,tt0093142,10311,8,eye view,noun,no
122,tt0093142,10311,8,parts,noun,no
123,tt0093142,10311,8,movie,noun,general
124,tt0093142,10311,9,Truly,noun,no
125,tt0093142,10311,9,absurdity,noun,no
126,tt0093142,10312,1,Found,noun,no
127,tt0093142,10312,1,film,noun,general
128,tt0093142,10312,1,DVD discount rack,noun,no
129,tt0093142,10312,3,camera work,noun,general
130,tt0093142,10312,3,dialog look,noun,general
131,tt0093142,10312,3,sound,noun,music
132,tt0093142,10312,3,film student,noun,general
133,tt0093142,10312,4,Sandra,noun,cast
134,tt0093142,10312,4,performance,noun,no
135,tt0093142,10312,4,film,noun,general
136,tt0093142,10312,4,action,noun,general
137,tt0093142,10312,5,thing,noun,no
138,tt0093142,10312,6,action films,noun,general
139,tt0093142,10312,6,people,noun,no
140,tt0093142,10312,6,film,noun,general
141,tt0093142,10312,6,ammo,noun,no
142,tt0093142,10312,6,bodies,noun,no
143,tt0093142,10312,6,weapons,noun,no
144,tt0093142,10312,6,ammunition,noun,no
145,tt0093142,10313,1,movie,noun,general
146,tt0093142,10313,1,discount rack,noun,no
147,tt0093142,10313,1,mistake,noun,no
148,tt0093142,10313,1,Sandra Bullock,noun,cast
149,tt0093142,10313,1,cover,noun,no
150,tt0093142,10313,2,cinematography,noun,general
151,tt0093142,10313,2,back,noun,no
152,tt0093142,10313,2,DVD box,noun,no
153,tt0093142,10313,2,plot,noun,story
154,tt0093142,10313,2,movie,noun,general
155,tt0093142,10313,3,Uzi cam,noun,no
156,tt0093142,10314,1,DVD release,noun,no
157,tt0093142,10314,1,movie,noun,general
158,tt0093142,10314,1,movie,noun,general
159,tt0093142,10314,1,name,noun,no
160,tt0093142,10314,1,face,noun,no
161,tt0093142,10314,1,Sandra Bullock,noun,cast
162,tt0093142,10314,2,Her picture,noun,no
163,tt0093142,10314,2,years,noun,no
164,tt0093142,10314,2,film,noun,general
165,tt0093142,10314,2,back cover art,noun,no
166,tt0093142,10314,2,inside cover art,noun,no
167,tt0093142,10314,2,picture,noun,no
168,tt0093142,10314,3,Her name,noun,no
169,tt0093142,10314,3,front cover,noun,no
170,tt0093142,10314,3,edges,noun,no
171,tt0093142,10314,3,disk,noun,no
172,tt0093142,10314,4,name,noun,no
173,tt0093142,10314,4,list,noun,no
174,tt0093142,10314,4,stars,noun,no
175,tt0093142,10314,5,Her biography,noun,no
176,tt0093142,10314,5,case,noun,no
177,tt0093142,10314,6,film,noun,general
